Usuario,IDs auditados,Total errores,Error LEVE,Error GRAVE,% error,% de efectividad,Week
ext_fagaglia,40,0,0,0,"0,00%","100,00%",27
ext_joavgust,40,11,9,2,"27,50%","0,7708333333",27
ext_fltangor,58,0,0,0,"0,00%",1,28
ext_joavgust,58,0,0,0,"0,00%",1,28
ext_facacuna,58,9,8,1,"15,52%","86,76%",28
ext_jocambar,52,8,1,7,"15,38%","0,8461538462",28
ext_toarruss,40,0,0,0,"0,00%","100,00%",28
ext_masolvey,40,4,0,4,"10,00%","0,9024390244",28
ext_elgramug,40,0,0,0,"0,00%",1,28
ext_jotrimar,40,0,0,0,"0,00%",1,28
ext_igcuevas,40,1,0,1,"2,50%","97,50%",28
ext_francof,40,8,1,7,"20,00%","0,8",28
ext_dadi,40,0,0,0,"0,00%","100,00%",28
ext_juawagne,40,1,0,1,"2,50%","0,975",28
ext_igjerez,40,0,0,0,"0,00%",1,28
ext_tibareir,38,0,0,0,"0,00%",1,28
ext_matvalle,38,0,0,0,"0,00%",1,28
ext_joastori,38,0,0,0,"0,00%",1,28
ext_nadsosa,38,6,0,6,"15,79%","0,8421052632",28
ext_namangas,33,1,1,0,"3,03%","0,9696969697",28
ext_ensole,32,1,1,0,"3,13%","0,96875",28
ext_fagaglia,32,3,0,3,"9,38%","90,63%",28
ext_kevvigil,32,3,3,0,"9,38%","0,90625",28
ext_matiam,32,11,0,11,"34,38%","65,63%",28
ext_jodragon,32,0,0,0,"0,00%",1,28
ext_ola,32,0,0,0,"0,00%","100,00%",28
ext_sancjoaq,32,8,0,8,"25,00%","0,8139534884",28
ext_tovulcan,32,3,2,1,"9,38%","0,9545454545",28
ext_ramiherr,32,13,0,13,"40,63%","59,38%",28
ext_agnovare,32,1,1,0,"3,13%","0,96875",28
ext_francof,50,3,0,3,"6,00%","0,94",29
ext_sancjoaq,50,6,1,5,"12,00%","0,88",29
ext_ramiherr,50,1,1,0,"2,00%","98,00%",29
ext_matiam,50,0,0,0,"0,00%","100,00%",29
ext_elgramug,40,0,0,0,"0,00%",1,29
ext_toarruss,40,0,0,0,"0,00%","100,00%",29
ext_ola,40,12,0,12,"30,00%","71,11%",29
ext_jocambar,40,15,0,15,"37,50%","0,625",29
ext_masolvey,40,9,0,9,"22,50%","0,775",29
ext_nadsosa,40,4,1,3,"10,00%","0,9",29
ext_tibareir,40,1,1,0,"2,50%","0,975",29
ext_joavgust,40,0,0,0,"0,00%",1,29
ext_jotrimar,40,0,0,0,"0,00%",1,29
ext_aiolmedo,40,0,0,0,"0,00%","100,00%",29
ext_joastori,40,5,0,5,"12,50%","0,875",29
ext_namangas,40,0,0,0,"0,00%",1,29
ext_dadi,40,0,0,0,"0,00%","100,00%",29
ext_agnovare,40,1,0,1,"2,50%","0,975",29
ext_igcuevas,40,0,0,0,"0,00%","100,00%",29
ext_fltangor,40,2,2,0,"5,00%","0,9534883721",29
ext_fagaglia,40,2,1,1,"5,00%","95,00%",29
ext_mibrizue,40,0,0,0,"0,00%","100,00%",29
ext_jodragon,40,0,0,0,"0,00%",1,29
ext_igjerez,40,0,0,0,"0,00%",1,29
ext_matvalle,40,0,0,0,"0,00%",1,29
ext_tovulcan,40,0,0,0,"0,00%",1,29
ext_facacuna,40,1,0,1,"2,50%","97,50%",29
ext_ensole,40,25,14,11,"62,50%","0,375",29
ext_juawagne,40,0,0,0,"0,00%",1,29
ext_jocambar,60,2,1,1,"3,33%","0,9666666667",30
ext_ensole,60,2,0,2,"3,33%","0,9666666667",30
ext_namangas,40,1,0,1,"2,50%","0,975",30
ext_facacuna,40,3,3,0,"7,50%","92,50%",30
ext_joastori,40,4,3,1,"10,00%","0,9",30
ext_nadsosa,40,18,2,16,"45,00%","0,431372549",30
ext_ola,40,4,0,4,"10,00%","90,24%",30
ext_fltangor,40,5,0,5,"12,50%","0,875",30
ext_igcuevas,40,0,0,0,"0,00%","100,00%",30
ext_igjerez,40,0,0,0,"0,00%",1,30
ext_tibareir,40,5,5,0,"12,50%","0,8936170213",30
ext_jodragon,40,1,0,1,"2,50%","0,9772727273",30
ext_matvalle,40,0,0,0,"0,00%",1,30
ext_sancjoaq,40,0,0,0,"0,00%",1,30
ext_ramiherr,40,0,0,0,"0,00%","100,00%",30
ext_fagaglia,40,3,1,2,"7,50%","92,50%",30
ext_francof,40,8,0,8,"20,00%","0,8392857143",30
ext_elgramug,40,0,0,0,"0,00%",1,30
ext_dadi,40,0,0,0,"0,00%","100,00%",30
ext_masolvey,40,0,0,0,"0,00%",1,30
ext_toarruss,40,11,0,11,"27,50%","72,50%",30
ext_juawagne,40,7,7,0,"17,50%","0,825",30
ext_aiolmedo,40,0,0,0,"0,00%","100,00%",30
ext_jotrimar,40,0,0,0,"0,00%",1,30
ext_joavgust,40,0,0,0,"0,00%",1,30
ext_mibrizue,40,2,1,1,"5,00%","95,00%",30
ext_tovulcan,40,0,0,0,"0,00%",1,30
ext_agnovare,40,0,0,0,"0,00%",1,30
ext_matiam,40,0,0,0,"0,00%","100,00%",30
ext_igcuevas,80,5,3,2,"6,25%","93,75%",31
ext_toarruss,80,9,7,2,"11,25%","88,75%",31
ext_fltangor,80,1,0,1,"1,25%","0,9875",31
ext_dadi,40,7,1,6,"17,50%","82,50%",31
ext_facacuna,40,4,3,1,"10,00%","90,00%",31
ext_igjerez,40,2,0,2,"5,00%","0,95",31
ext_jodragon,40,1,0,1,"2,50%","0,975",31
ext_ramiherr,40,3,0,3,"7,50%","92,50%",31
ext_jocambar,40,5,1,4,"12,50%","0,890625",31
ext_francof,40,0,0,0,"0,00%",1,31
ext_fagaglia,40,1,0,1,"2,50%","97,73%",31
ext_sancjoaq,40,12,3,9,"30,00%","0,7",31
ext_agnovare,40,0,0,0,"0,00%",1,31
ext_tovulcan,40,1,0,1,"2,50%","0,975",31
ext_aiolmedo,40,0,0,0,"0,00%","100,00%",31
ext_matvalle,40,0,0,0,"0,00%",1,31
ext_joastori,40,5,0,5,"12,50%","0,875",31
ext_ensole,40,0,0,0,"0,00%",1,31
ext_ola,40,13,0,13,"32,50%","67,50%",31
ext_mibrizue,40,1,0,1,"2,50%","97,50%",31
ext_tibareir,40,3,0,3,"7,50%","0,9302325581",31
ext_namangas,40,2,2,0,"5,00%","0,95",31
ext_juawagne,40,0,0,0,"0,00%",1,31
ext_joavgust,40,3,0,3,"7,50%","0,925",31
ext_elgramug,40,3,0,3,"7,50%","0,925",31
ext_nadsosa,40,0,0,0,"0,00%",1,31
ext_ola,60,31,9,22,"51,67%","48,33%",32
ext_joastori,60,0,0,0,"0,00%",1,32
ext_dadi,60,5,1,4,"8,33%","91,67%",32
ext_sancjoaq,52,3,0,3,"5,77%","0,9454545455",32
ext_ramiherr,48,6,0,6,"12,50%","87,50%",32
ext_nadsosa,43,0,0,0,"0,00%",1,32
ext_joavgust,42,0,0,0,"0,00%",1,32
ext_tibareir,41,6,0,6,"14,63%","0,8536585366",32
ext_fltangor,41,0,0,0,"0,00%",1,32
ext_matiam,40,3,3,0,"7,50%","92,50%",32
ext_mibrizue,40,0,0,0,"0,00%","100,00%",32
ext_agnovare,40,3,3,0,"7,50%","0,9268292683",32
ext_francof,40,2,0,2,"5,00%","0,95",32
ext_ensole,40,1,0,1,"2,50%","0,975",32
ext_jotrimar,40,2,1,1,"5,00%","0,95",32
ext_jodragon,40,0,0,0,"0,00%",1,32
ext_fagaglia,40,3,0,3,"7,50%","92,50%",32
ext_toarruss,40,6,0,6,"15,00%","85,00%",32
ext_namangas,40,6,0,6,"15,00%","0,85",32
ext_facacuna,40,0,0,0,"0,00%","100,00%",32
ext_juawagne,40,7,3,4,"17,50%","0,825",32
ext_elgramug,40,4,0,4,"10,00%","0,9",32
ext_jocambar,40,6,1,5,"15,00%","0,85",32
ext_matvalle,40,4,3,1,"10,00%","0,9024390244",32
ext_igcuevas,40,13,0,13,"32,50%","67,50%",32
ext_aiolmedo,40,0,0,0,"0,00%","100,00%",32
ext_tovulcan,40,7,5,2,"17,50%","0,825",32
ext_tovulcan,52,4,0,4,"7,69%","0,9230769231",33
ext_ola,50,14,3,11,"28,00%","73,58%",33
ext_juawagne,50,2,2,0,"4,00%","0,96",33
ext_igcuevas,50,0,0,0,"0,00%","100,00%",33
ext_dadi,44,1,0,1,"2,27%","97,73%",33
ext_jodragon,41,0,0,0,"0,00%",1,33
ext_ramiherr,41,0,0,0,"0,00%","100,00%",33
ext_jocambar,41,0,0,0,"0,00%",1,33
ext_namangas,41,0,0,0,"0,00%",1,33
ext_sancjoaq,41,0,0,0,"0,00%",1,33
ext_facacuna,40,2,1,1,"5,00%","95,00%",33
ext_mibrizue,40,3,1,2,"7,50%","92,50%",33
ext_aiolmedo,40,0,0,0,"0,00%","100,00%",33
ext_igjerez,40,3,2,1,"7,50%","0,925",33
ext_elgramug,40,1,0,1,"2,50%","0,975",33
ext_tibareir,40,0,0,0,"0,00%",1,33
ext_matiam,40,1,0,1,"2,50%","97,62%",33
ext_ensole,40,5,0,5,"12,50%","0,9107142857",33
ext_nadsosa,40,1,0,1,"2,50%","0,975",33
ext_fagaglia,40,11,2,9,"27,50%","72,50%",33
ext_francof,40,0,0,0,"0,00%",1,33
ext_joastori,40,1,1,0,"2,50%","0,975",33
ext_joavgust,40,14,13,1,"35,00%","0,65",33
ext_jotrimar,40,0,0,0,"0,00%",1,33
ext_matvalle,40,13,3,10,"32,50%","0,675",33
ext_agnovare,40,0,0,0,"0,00%",1,33
ext_fltangor,40,6,3,3,"15,00%","0,85",33
ext_toarruss,36,0,0,0,"0,00%","100,00%",33
ext_fltangor,50,14,10,4,"28,00%","0,7307692308",34
ext_ola,50,0,0,0,"0,00%","100,00%",34
ext_fagaglia,47,16,8,8,"34,04%","65,96%",34
ext_joavgust,47,24,12,12,"51,06%","0,4893617021",34
ext_matvalle,47,1,0,1,"2,13%","0,9787234043",34
ext_jocambar,40,4,4,0,"10,00%","0,9",34
ext_matiam,40,0,0,0,"0,00%","100,00%",34
ext_joastori,40,5,5,0,"12,50%","0,875",34
ext_toarruss,40,1,1,0,"2,50%","97,78%",34
ext_tovulcan,40,1,0,1,"2,50%","0,975",34
ext_ramiherr,40,1,0,1,"2,50%","97,50%",34
ext_namangas,40,3,1,2,"7,50%","0,925",34
ext_nadsosa,40,1,0,1,"2,50%","0,975",34
ext_jodragon,40,0,0,0,"0,00%",1,34
ext_igjerez,40,1,1,0,"2,50%","0,975",34
ext_agnovare,40,2,0,2,"5,00%","0,95",34
ext_tibareir,40,1,1,0,"2,50%","0,975",34
ext_jotrimar,40,0,0,0,"0,00%",1,34
ext_ensole,40,8,6,2,"20,00%","0,8",34
ext_mibrizue,40,3,0,3,"7,50%","90,48%",34
ext_igcuevas,40,1,1,0,"2,50%","97,50%",34
ext_francof,40,1,0,1,"2,50%","0,975",34
ext_aiolmedo,40,0,0,0,"0,00%","100,00%",34
ext_facacuna,40,13,2,11,"32,50%","65,85%",34
ext_sancjoaq,40,6,5,1,"15,00%","0,85",34
ext_juawagne,40,0,0,0,"0,00%",1,34
ext_elgramug,40,0,0,0,"0,00%",1,34
ext_dadi,39,1,0,1,"2,56%","97,44%",34
ext_joavgust,50,9,0,9,"0,18","0,82",35
ext_fltangor,45,3,1,2,"0,06666666667","0,9375",35
ext_facacuna,45,10,1,9,"0,2222222222","0,7777777778",35
ext_francof,40,6,0,6,"0,15","0,85",35
ext_dadi,30,2,0,2,"0,06666666667","0,9333333333",35
ext_sancjoaq,30,0,0,0,0,1,35
ext_ola,30,0,0,0,0,1,35
ext_nadsosa,30,0,0,0,0,1,35
ext_agnovare,30,0,0,0,0,1,35
ext_aiolmedo,30,0,0,0,0,1,35
ext_matiam,30,1,0,1,"0,03333333333","0,9666666667",35
ext_jodragon,30,0,0,0,0,1,35
ext_ramiherr,30,7,0,7,"0,2333333333","0,7741935484",35
ext_ensole,30,0,0,0,0,1,35
ext_juawagne,30,0,0,0,0,1,35
ext_jotrimar,30,0,0,0,0,1,35
ext_joastori,30,2,0,2,"0,06666666667","0,9333333333",35
ext_tibareir,30,0,0,0,0,1,35
ext_matvalle,30,0,0,0,0,1,35
ext_toarruss,30,0,0,0,0,1,35
ext_mibrizue,30,0,0,0,0,1,35
ext_igjerez,30,1,1,0,"0,03333333333","0,96875",35
ext_jocambar,30,8,4,4,"0,2666666667","0,7333333333",35
ext_namangas,30,0,0,0,0,1,35
ext_elgramug,30,0,0,0,0,1,35
ext_igcuevas,30,9,8,1,"0,3","0,7",35
ext_tovulcan,29,2,0,2,"0,06896551724","0,9310344828",35
ext_igcuevas,60,7,1,6,"0,1166666667","0,8833333333",36
ext_jocambar,60,0,0,0,0,1,36
ext_facacuna,50,0,0,0,0,1,36
ext_ramiherr,50,1,0,1,"0,02","0,98",36
ext_francof,50,5,0,5,"0,1","0,9",36
ext_fagaglia,30,1,0,1,"0,03333333333","0,9666666667",36
ext_elgramug,30,1,0,1,"0,03333333333","0,9666666667",36
ext_ola,30,8,7,1,"0,2666666667","0,7333333333",36
ext_igjerez,30,3,1,2,"0,1","0,90625",36
ext_matiam,30,1,0,1,"0,03333333333","0,9666666667",36
ext_jodragon,30,0,0,0,0,1,36
ext_juawagne,30,3,1,2,"0,1","0,9",36
ext_nadsosa,30,10,2,8,"0,3333333333","0,6666666667",36
ext_fltangor,30,0,0,0,0,1,36
ext_matvalle,30,0,0,0,0,1,36
ext_toarruss,30,0,0,0,0,1,36
ext_jotrimar,30,0,0,0,0,1,36
